nrOfConversations,nrOfGhostingsAfterInitialMessage,OfOneMessageConversations,percentOfOneMessageConversations,numberOfGhostings
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
1,1,0,0,1
1,0,0,0,0
1,0,1,100,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,1,0,0,1
1,0,1,100,1
1,0,1,100,1
1,0,1,100,1
1,0,1,100,1
1,0,1,100,1
1,0,0,0,0
1,0,0,0,0
1,1,0,0,1
1,0,1,100,1
1,0,1,100,1
1,0,0,0,0
1,0,1,100,1
1,0,1,100,1
1,0,1,100,1
1,0,0,0,0
2,0,0,0,0
2,0,2,100,2
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,2,100,2
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,1,50,1
2,0,2,100,2
2,0,1,50,1
2,0,1,50,1
2,0,0,0,0
2,0,0,0,0
2,0,1,50,1
2,0,1,50,1
2,0,0,0,0
2,0,0,0,0
2,0,1,50,1
2,0,2,100,2
2,0,0,0,0
2,0,1,50,1
2,0,1,50,1
2,0,1,50,1
3,0,1,33.33333333,1
3,0,0,0,0
3,1,0,0,1
3,0,2,66.66666667,2
3,0,0,0,0
3,0,1,33.33333333,1
3,0,0,0,0
3,0,1,33.33333333,1
3,0,0,0,0
3,0,1,33.33333333,1
3,0,2,66.66666667,2
3,0,1,33.33333333,1
3,0,0,0,0
3,0,0,0,0
3,0,1,33.33333333,1
3,0,0,0,0
4,0,3,75,3
4,0,0,0,0
4,0,2,50,2
4,0,2,50,2
4,0,0,0,0
4,1,1,25,2
4,0,3,75,3
4,0,1,25,1
4,0,1,25,1
4,0,0,0,0
4,1,0,0,1
4,0,2,50,2
4,0,3,75,3
4,0,2,50,2
4,0,4,100,4
4,0,1,25,1
4,0,2,50,2
4,0,1,25,1
4,0,4,100,4
4,0,4,100,4
4,0,1,25,1
5,0,3,60,3
5,0,2,40,2
5,0,1,20,1
5,0,4,80,4
5,0,3,60,3
5,0,2,40,2
5,1,2,40,3
5,0,2,40,2
5,2,2,40,4
5,1,1,20,2
5,0,1,20,1
5,0,4,80,4
5,0,1,20,1
5,2,1,20,3
5,0,2,40,2
5,0,1,20,1
5,0,3,60,3
5,2,1,20,3
5,1,3,60,4
5,0,3,60,3
5,0,1,20,1
5,0,2,40,2
5,0,1,20,1
6,1,1,16.66666667,2
6,0,0,0,0
6,2,0,0,2
6,0,0,0,0
6,0,2,33.33333333,2
6,0,2,33.33333333,2
6,0,2,33.33333333,2
6,0,2,33.33333333,2
6,0,2,33.33333333,2
6,0,1,16.66666667,1
6,0,3,50,3
6,0,1,16.66666667,1
6,0,3,50,3
6,2,1,16.66666667,3
6,0,4,66.66666667,4
6,1,1,16.66666667,2
7,1,3,42.85714286,4
7,0,0,0,0
7,0,2,28.57142857,2
7,1,4,57.14285714,5
7,0,3,42.85714286,3
7,0,2,28.57142857,2
7,0,3,42.85714286,3
7,0,0,0,0
8,1,2,25,3
8,0,4,50,4
8,0,4,50,4
8,0,1,12.5,1
8,1,3,37.5,4
8,1,7,87.5,8
8,0,1,12.5,1
8,0,6,75,6
8,0,3,37.5,3
8,0,3,37.5,3
8,0,1,12.5,1
8,1,2,25,3
8,4,1,12.5,5
8,0,4,50,4
8,0,2,25,2
8,0,6,75,6
8,0,1,12.5,1
9,0,1,11.11111111,1
9,1,2,22.22222222,3
9,2,2,22.22222222,4
9,0,4,44.44444444,4
9,0,2,22.22222222,2
9,0,4,44.44444444,4
9,0,3,33.33333333,3
9,0,1,11.11111111,1
9,1,0,0,1
9,0,2,22.22222222,2
9,0,4,44.44444444,4
10,1,7,70,8
10,8,0,0,8
10,0,4,40,4
10,0,5,50,5
10,0,4,40,4
10,1,5,50,6
10,0,4,40,4
10,0,1,10,1
10,0,7,70,7
10,1,5,50,6
10,1,1,10,2
10,3,2,20,5
11,0,2,18.18181818,2
11,0,5,45.45454545,5
11,5,3,27.27272727,8
11,1,7,63.63636364,8
11,1,3,27.27272727,4
11,6,4,36.36363636,10
11,0,6,54.54545455,6
11,3,5,45.45454545,8
11,0,5,45.45454545,5
11,0,9,81.81818182,9
11,0,2,18.18181818,2
11,0,6,54.54545455,6
11,0,2,18.18181818,2
12,0,6,50,6
12,5,4,33.33333333,9
12,0,1,8.333333333,1
12,0,3,25,3
12,0,7,58.33333333,7
12,0,6,50,6
12,0,3,25,3
12,4,2,16.66666667,6
12,1,2,16.66666667,3
12,0,2,16.66666667,2
12,1,3,25,4
12,0,3,25,3
12,0,3,25,3
12,1,6,50,7
12,0,2,16.66666667,2
12,0,0,0,0
12,3,7,58.33333333,10
13,5,0,0,5
13,0,5,38.46153846,5
13,0,7,53.84615385,7
13,4,6,46.15384615,10
13,0,4,30.76923077,4
13,1,7,53.84615385,8
13,2,7,53.84615385,9
13,10,1,7.692307692,11
14,1,0,0,1
14,0,3,21.42857143,3
14,5,1,7.142857143,6
14,0,3,21.42857143,3
14,1,5,35.71428571,6
14,0,4,28.57142857,4
14,5,5,35.71428571,10
14,1,6,42.85714286,7
14,0,7,50,7
14,0,6,42.85714286,6
15,7,1,6.666666667,8
