user.ageFilterMax,user.ageFilterMin,user.genderFilter,user.interestedIn
35,21,F,F
29,18,F,F
24,20,F,F
25,20,F,F
27,18,F,F
50,30,F,F
35,21,M,M
35,18,F,F
40,23,M,M
19,18,F,F
25,18,F,F
29,21,F,F
22,18,F,F
22,18,F,F
43,23,F,F
32,23,F,F
27,22,M,M
22,18,F,F
35,20,F,F
35,21,F,F
34,18,F,F
29,20,F,F
28,18,F,F
31,22,F,F
33,22,F,F
24,20,F,F
28,18,M,M
41,18,F,F
45,24,F,F
45,18,F,F
30,19,F,F
35,27,F,F
32,26,M,M
30,18,F,F
28,22,M,M
21,18,F,F
28,18,F,F
29,18,F,F
24,18,F,F
24,18,F,F
26,18,F,F
22,18,M,M
42,26,M,M
35,20,F,F
28,24,M,M
37,27,M,M
26,22,F,F
35,24,M,M
34,26,F,F
22,18,M,M
32,18,F,F
33,23,F,F
25,20,F,F
42,18,F,F
24,18,M and F,M and F
33,18,M,M
32,25,M,M
25,21,F,F
30,21,M,M
23,18,F,F
27,20,F,F
27,18,F,F
27,20,F,F
27,20,F,F
38,18,F,F
22,18,M and F,M and F
30,22,M and F,M and F
23,18,F,F
30,18,F,F
35,18,F,F
25,18,F,F
23,19,M,M
21,18,F,F
31,24,F,F
40,18,F,F
30,22,M and F,M and F
35,23,F,F
25,21,M,M
30,24,M,M
30,24,M and F,M and F
36,26,M,M
40,20,F,F
30,21,F,F
24,19,F,F
22,21,F,F
30,18,F,F
28,20,F,F
30,18,F,F
30,18,F,F
35,18,F,F
50,23,F,F
26,18,F,F
23,18,F,F
100,18,,
31,21,F,F
45,21,F,F
32,22,M,M
29,18,F,F
32,23,F,F
25,18,F,F
40,28,M,M
24,18,F,F
35,21,F,F
30,21,F,F
34,20,F,F
54,24,F,F
25,18,F,F
25,22,F,F
26,19,F,F
26,21,F,F
35,24,F,F
29,20,F,F
30,24,M,M
46,33,M,M
40,26,M,M
36,30,M,M
37,25,M,M
25,22,M and F,M and F
30,18,F,F
35,18,F,F
47,27,F,F
32,20,F,F
23,18,F,F
33,24,M and F,M and F
26,21,F,F
26,20,F,F
30,24,M and F,M and F
28,20,M and F,M and F
40,18,F,F
29,21,M,M
25,18,M and F,M and F
30,18,M,M
30,19,F,F
37,28,M,M
28,18,F,F
21,18,F,F
40,28,M,M
30,21,M and F,M and F
27,18,F,F
27,21,F,F
40,18,F,F
36,25,M and F,M and F
34,27,M,M
50,20,F,F
29,18,F,F
22,18,F,F
22,18,F,F
39,18,F,F
29,18,F,F
32,26,F,F
50,30,M and F,M and F
30,18,F,F
26,21,M,M
30,22,F,F
24,18,F,F
27,18,F,F
24,19,F,F
25,19,F,F
37,20,F,F
44,30,M,M
33,26,F,F
28,19,M and F,M and F
30,18,F,F
23,18,F,F
32,18,F,F
43,18,F,F
32,18,M,M
28,20,F,F
32,18,F,F
33,25,M,M
38,18,F,F
32,23,F,F
29,21,F,F
31,23,F,F
21,18,F,F
34,18,F,F
29,24,F,F
29,24,M,M
22,18,F,F
22,18,F,F
22,18,F,F
25,20,F,F
27,20,F,F
22,18,F,F
30,18,F,F
27,20,F,F
28,20,F,F
27,18,F,F
39,22,F,F
31,26,M,M
30,19,F,F
30,22,F,F
31,23,M and F,M and F
28,21,F,F
32,18,F,F
40,18,F,F
23,18,F,F
42,29,M,M
29,20,F,F
28,18,F,F
24,19,M,M
28,18,F,F
24,20,F,F
36,18,F,F
24,18,F,F
25,18,F,F
28,18,F,F
26,22,F,F
27,21,M,M
26,20,F,F
22,18,F,F
24,19,M,M
38,24,F,F
24,18,M and F,M and F
30,20,F,F
37,32,F,F
26,21,M,M
36,23,M,M
23,19,F,F
25,21,M,M
